 Manufacturer, Model, codename, Device<br />type," data-sort-type=""number"" | Latest CM<br />release"," data-sort-type=""number"" | Current<br />nightly branch"," class=""unsortable"" | Notes"
 Acer Inc.|Acer, Acer Iconia Tab|Iconia Tab A700, a700, tablet, {{sort|110013|11 XNG3C}},11, 
 Advent Computers|Advent, Advent Vega|Vega, vega, tablet, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013.
 Amazon.com|Amazon, Kindle Fire (1st gen), otter, eReader, {{sort|110012|11 M12}},11, 
 Amazon.com|Amazon, Kindle Fire X (1st gen), otterx, eReader, {{sort|110012|11 M12}},11, 
 Amazon.com|Amazon, Kindle Fire (2nd gen), otter2, eReader, {{sort|110012|11 M12}},11, 
 Amazon.com|Amazon, Kindle Fire HD|Kindle Fire HD 7, tate, eReader, {{sort|110012|11 M12}},12.1, 
 Amazon.com|Amazon, Kindle Fire HD|Kindle Fire HD 8.9, jem, eReader, {{sort|110012|11 M12}},12.1, 
 Asus, Asus Eee Pad Transformer|Eee Pad Transformer, tf101, tablet, {{sort|091000|9.1}},10, Last nightly was built on 29 September 2013 
 Asus, Asus Eee Pad Transformer Prime|Eee Pad Transformer Prime, tf201, tablet, {{sort|091000|9.1}},10.1, Last nightly was built on 16 February 2014  
 Asus, Asus Transformer Pad Infinity|Transformer Pad Infinity, tf700t, tablet, {{sort|110012|11 M12}},11, 
 Asus, Asus Transformer Pad TF300T|Transformer Pad TF300T, tf300t, tablet, {{sort|110013|11 XNG3C}},12.1, 
 Asus, Asus Transformer Pad TF701T|Transformer Pad TF701T, tf701t, tablet, {{sort|110013|11 XNG3C}},11, 
 Barnes & Noble, Nook Color, encore, eReader, {{sort|110012|11 M12}},11, 
 Barnes & Noble, Nook HD, hummingbird, eReader, {{sort|110012|11 M12}},11, 
 Barnes & Noble, Nook HD+, ovation, eReader, {{sort|110012|11 M12}},11, 
 Barnes & Noble, Nook Tablet, acclaim, eReader, {{sort|110013|11 XNG3C}},12.1, 
 Commtiva, Z71, z71, phone, {{sort|071000|7.1}}, {{N/A}}, Sold under several additional names. Last nightly was built on 17 November 2011.
 GeeksPhone, GeeksPhone One|One, one, phone, {{sort|071000|7.1}},7, Last nightly was built on 3 June 2012.
 GeeksPhone, Zero, zero, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013.
 Google, Android One, sprout, phone, {{sort|110013|11 XNG3C}},12.1," Devices: [[Micromax Canvas A1]], Karbonn Sparkle V, Spice Dream UNO."
 Google Nexus|Google, Nexus 4, mako, phone, {{sort|110012|11 M12}},12.1, Manufactured by [[LG]].
 Google Nexus|Google, Nexus 5, hammerhead, phone, {{sort|110011|11 M11}},12.1, Manufactured by [[LG]].
 Google Nexus|Google, Nexus 5 (CAF), hammerheadcaf, phone, {{sort|110011|11 M11}},12.1, Manufactured by [[LG]].
 Google nexus|Google, Nexus 6 , shamu, phone, {{N/A}},12.1, Manufactured by [[Motorola]]
 Google nexus|Google, Nexus 7 (2012 version) (GSM), tilapia, tablet, {{sort|120001|12 YNG4N}},12.1, Manufactured by [[Asus]].
 Google Nexus|Google, Nexus 7 (2012 version) (Wi-Fi), grouper, tablet, {{sort|120001|12 YNG4N}},12.1, Manufactured by [[Asus]]. 
 Google Nexus|Google, Nexus 7 (2013 version) (Wi-Fi), flo, tablet, {{sort|110012|11 M12}},12.1, Manufactured by [[Asus]].
 Google Nexus|Google, Nexus 7 (2013 version) (4G), deb, tablet, {{sort|110012|11 M12}},12.1, Manufactured by [[Asus]]
 Google Nexus|Google, Nexus 9 (Wi-Fi), flounder, tablet, {{N/A}},12.1, Manufactured by [[HTC]].
 Google Nexus|Google, Nexus 10, manta, tablet, {{sort|110011|11 M11}},12.1, Manufactured by [[Samsung]].
 Google Nexus|Google, Galaxy Nexus (GSM), maguro, phone, {{sort|110013|11 XNG3C}},11, Manufactured by [[Samsung]].
 Google Nexus|Google, Galaxy Nexus (Sprint), toroplus, phone, {{sort|110008|11 M8}},11, Last nightly was built on 13 September 2014.
 Google Nexus|Google, Galaxy Nexus (Verizon), toro, phone, {{sort|110009|11 M9}},11, Last nightly was built on 13 September 2014.
 Google Nexus|Google, Nexus One, passion, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013.
 Google Nexus|Google, Nexus Player, fugu, set-top box, {{N/A}},12.1, Manufactured by [[Asus]].
 Google Nexus|Google, Nexus S, crespo, phone, {{sort|110012|11 M12}},11, Manufactured by [[Samsung]].
 Google Nexus|Google, Nexus S 4G, crespo4g, phone,{{sort|101030|10.1.3}},10.1, Last nightly was built on 16 February 2014.
 Google Nexus|Google, Nexus Q, steelhead, set-top box, {{sort|102010|10.2.1}},10.2, Last nightly was built on 20 April 2014.
 Hardkernel, Odroid|Odroid U2, odroidu2, dev board, {{sort|102001|10.2}},10.2, Last nightly was built on 30 March 2014.
 Hewlett Packard, HP TouchPad|TouchPad, tenderloin, tablet, {{N/A}},9, Last nightly was built on 29 September 2013.
 HTC, HTC Amaze 4G|Amaze 4G, ruby, phone, {{N/A}},10, Last nightly was built on 6 October 2013.
 HTC, HTC Aria|Aria, liberty, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013.
 HTC, HTC Butterfly|Butterfly, dlx, phone, {{sort|120001|12 YNG4N}},12.1, Also marketed as the HTC Droid DNA
 HTC, HTC Desire|Desire (GSM), bravo, phone, {{sort|072001|7.2.0.1}},7, Last nightly was built on 1 March 2013.
 HTC, HTC Desire|Desire (CDMA), bravoc, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013.
 HTC, HTC Desire 816|Desire 816, a5, Phone, {{N/A}},12,
 HTC, HTC Desire HD|Desire HD, ace, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013. Also marketed as [[HTC Inspire 4G|AT&T Inspire 4G]]
 HTC, Desire S, saga, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013.
 HTC, HTC Desire Z|Desire Z, vision, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013. Also marketed as the T-Mobile G2.
 HTC, HTC Dream|Dream / HTC Magic|Magic, dream_sapphire, phone, {{sort|061000|6.1}}, {{N/A}}," Also marketed as T-Mobile myTouch 3G, Rogers HTC Magic, DoCoMo HT-03A."
 HTC, HTC Hero#Droid Eris|Droid Eris, desirec, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013.
 HTC, Droid Incredible, inc, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013.
 HTC, HTC Incredible S|Droid Incredible 2, vivow, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013.
 HTC, Droid Incredible 4G LTE, fireball, phone, {{sort|110013|11 XNG3C}},11, 
 HTC, HTC Evo 3D|Evo 3D (GSM), shooteru, phone, {{N/A}},9, Last nightly was built on 29 September 2013.
 HTC, HTC Evo 4G|Evo 4G, supersonic, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013.
 HTC, HTC Evo 4G LTE|Evo 4G LTE, jewel, phone, {{sort|110012|11 M12}},12, 
 HTC, HTC Evo Shift 4G|Evo Shift 4G, speedy, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013.
 HTC, HTC Hero|Hero (CDMA), heroc, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013.
 HTC, HTC Hero|Hero (GSM), hero, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013.
 HTC, HTC Incredible S|Incredible S, vivo, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013.
 HTC, HTC Legend|Legend, legend, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013.
 HTC, T-Mobile myTouch 3G Slide|myTouch 3G Slide, espresso, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013.
 HTC, T-Mobile myTouch 4G|myTouch 4G, glacier, phone, {{sort|072000|7.2}},7, Last nightly was built on 7 October 2012. Also marketed as the HTC Panache.
 HTC, T-Mobile myTouch 4G Slide|myTouch 4G Slide, doubleshot, phone, {{sort|091000|9.1}},9, Last nightly was built on 29 September 2013.
 HTC, HTC One series|One (AT&T), m7att, phone, {{sort|110002|11 M2}},11, Last nightly was built on 6 January 2014.
 HTC, HTC One series|One (GSM), m7ul, phone, {{sort|102010|10.2.1}},11, Last nightly was built on 6 January 2014.
 HTC, HTC One series|One (GSM), m7, phone, {{sort|110012|11 M12}} ,12.1, 
 HTC, HTC One series|One (Sprint), m7spr, phone, {{sort|110012|11 M12}},12, 
 HTC, HTC One series|One (T-Mobile), m7tmo, phone, {{sort|110002|11 M2}},11, Last nightly was built on 6 January 2014.
 HTC, HTC One series|One (Verizon), m7vzw, phone, {{sort|120001|12 YNG4N}},12.1, 
 HTC, HTC One series|One (2014), m8, phone, {{sort|120001|12 YNG4N}},12.1, 
 HTC, HTC One series|One (Dual Sim), m8dug, phone, {{N/A}},12.1, 
 HTC, HTC One Max|One Max, t6, phone, {{sort|110012|11 M12}},12.1, 
 HTC, HTC One Max|One Max (Sprint), t6spr, phone, {{sort|110012|11 M12}},12.1, 
 HTC, HTC One Max|One Max (Verizon), t6vzw, phone, {{sort|110012|11 M12}},12.1, 
 HTC, HTC One series|One Mini , m4, phone, {{sort|110012|11 M12}},11, 
 HTC, HTC One series|One Mini 2 , memul, phone, {{sort|110012|11 M12}},12, Last nightly was built on 11 April 2015.
 HTC, HTC One S|One S, ville, phone, {{sort|110012|11 M12}},12.1, 
 HTC, HTC One X|One X (Snapdragon S4), evita, phone, {{sort|120001|12 YNG4N}},12.1, Also marketed as the [[HTC One XL]]
 HTC, HTC One X|One X (Tegra 3), endeavoru, phone, {{sort|110012|11 M12}},11, 
 HTC, HTC One X+|One X+, enrc2b, phone, {{sort|110013|11 XNG3C}},11, 
 HTC, HTC Raider 4G|Raider 4G, holiday, phone, {{N/A}},10, Last nightly was built on 6 October 2014.
 HTC, HTC Sensation|Sensation, pyramid, phone, {{sort|091000|9.1}},10, Last nightly was built on 6 October 2014.
 HTC, HTC Tattoo|Tattoo, click, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 February 2013.
 HTC, HTC Wildfire|Wildfire, buzz, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 February 2013.
 Huawei, Huawei IDEOS U8150|IDEOS U8150, u8150, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 February 2013.
 Huawei, U8160, u8160, phone, {{N/A}},7, Last nightly was built on 1 February 2013.
 Huawei, T-Mobile Pulse|U8220, u8220, phone, {{N/A}},7, Last nightly was built on 1 February 2013. Also marketed as the T-Mobile Pulse.
 LG Electronics|LG, LG G Pad 7.0|G-Pad 7.0, v400, tablet, {{N/A}},12.1, 
 LG Electronics|LG, LG G Pad 7.0|G-Pad 7.0 (LTE) (ATT), v410, tablet, {{sort|120001|12 YNG4N}},12.1, 
 LG Electronics|LG, LG G Pad 8.3|G-Pad 8.3, v500, tablet, {{sort|110012|11 M12}},12.1, 
 LG Electronics|LG, LG G2|G2 (AT&T), d800, phone, {{sort|120001|12 YNG4N}},12.1, 
 LG Electronics|LG, LG G2|G2 (Canada), d803, phone, {{N/A}},12.1, 
 LG Electronics|LG, LG G2|G2 (Docomo), l01f, phone, {{N/A}},11, 
 LG Electronics|LG, LG G2|G2 (T-Mobile), d801, phone, {{sort|120001|12 YNG4N}},12.1, 
 LG Electronics|LG, LG G2|G2 (International), d802, phone, {{sort|120001|12 YNG4N}},12.1, 
 LG Electronics|LG, LG G2|G2 (Sprint), ls980, phone, {{sort|120001|12 YNG4N}},12.1, 
 LG Electronics|LG, LG G2|G2 (Verizon), vs980, phone, {{sort|110004|11 M4}},12.1, 
 LG Electronics|LG, LG Optimus 2X|G2x, p999, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 February 2013.
 LG Electronics|LG, LG G3|G3 , d855, phone, {{N/A}},12.1, 
 LG Electronics|LG, LG G3|G3 (AT&T), d850, phone, {{N/A}},12.1, 
 LG Electronics|LG, LG G3|G3 (Canada), d852, phone, {{N/A}},12.1, 
 LG Electronics|LG, LG G3|G3 (Sprint), ls990, phone, {{N/A}},12.1, 
 LG Electronics|LG, LG G3|G3 (T-Mobile), d851, phone, {{N/A}},12.1, 
 LG Electronics|LG, LG G3|G3 (Verizon), vs985, phone, {{sort|120001|12 YNG4N}},12.1, 
 LG Electronics|LG, L90, w7, phone, {{N/A}},11," The w7 build will also install on D405, D405n, D410, D410n, D415 & D415n"
 LG Electronics|LG, T-Mobile myTouch Q by LG and T-Mobile myTouch by LG|myTouch, e739, phone, {{sort|090000|9}},9, Last nightly was built on 29 September 2013.
 LG Electronics|LG, T-Mobile myTouch Q by LG and T-Mobile myTouch by LG|myTouch Q, c800, phone, {{N/A}},9, Last nightly was built on 29 September 2013.
 LG Electronics|LG, LG Nitro HD|Nitro HD, p930, phone, {{sort|102010|10.2.1}},11, 
 LG Electronics|LG, LG Optimus 2X|Optimus 2X, p990, phone, {{sort|072000|7.2}},10.1, Last nightly was built on 16 February 2014. Also marketed as the LG Optimus Speed.
 LG Electronics|LG, LG Optimus 3D|Optimus 3D, p920, phone, {{sort|072000|7.2}},10, Last nightly was built on 6 October 2013.
 LG Electronics|LG, Optimus 3D Max, p720, phone, {{N/A}},10, Last nightly was built on 6 October 2013.
 LG Electronics|LG, LG Optimus 4X HD|Optimus 4X HD, p880, phone, {{sort|110010|11 M10}},11, 
 LG Electronics|LG, LG Optimus Black|Optimus Black, p970, phone, {{sort|100000|10}},10.1, Last nightly was built on 16 February 2014.
 LG Electronics|LG, LG Optimus Chic|Optimus Chic, e720, phone, {{N/A}},7, Last nightly was built on 1 March 2013.
 LG Electronics|LG, LG Optimus G|Optimus G (International), e975, phone, {{sort|120001|12 YNG4N}},12.1,
 LG Electronics|LG, LG Optimus G|Optimus G (AT&T), e970, phone, {{sort|120001|12 YNG4N}},12,
 LG Electronics|LG, LG Optimus G|Optimus G (Canada), e973, phone, {{sort|110010|11 M10}},11,
 LG Electronics|LG, LG Optimus G|Optimus G Pro (All e98x GSM), e980, phone, {{sort|120001|12 YNG4N}},12.1,
 LG Electronics|LG, LG Optimus G|Optimus G Pro (Sprint), ls970, phone, {{sort|120001|12 YNG4N}},12,
 LG Electronics|LG, Optimus Hub, e510, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013.
 LG Electronics|LG, LG Optimus L3|Optimus L3, e400, phone, {{N/A}},9, Last nightly was built on 29 September 2013.
 LG Electronics|LG, LG Optimus L5|Optimus L5, e610, phone, {{N/A}},10, Last nightly was built on 6 October 2013.
 LG Electronics|LG, LG Optimus L7|Optimus L7, p700, phone, {{N/A}},10, Last nightly was built on 6 October 2013.
 LG Electronics|LG, LG Optimus L9|Optimus L9, p760, phone, {{sort|102010|10.2.1}},10.2, Last nightly was built on 6 April 2014.
 LG Electronics|LG, LG Optimus LTE|Optimus LTE, p930, phone, {{sort|102010|10.2.1}},11, 
 LG Electronics|LG, LG Optimus LTE|Optimus LTE (SK Telecom), su640, phone, {{sort|101030|10.1.3}},10.1, Last nightly was built on 16 February 2013.
 LG Electronics|LG, Optimus Me, p350, phone, {{N/A}},7, Last nightly was built on 1 March 2013.
 LG Electronics|LG, LG Optimus One|Optimus One, p500, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013.
 LG Electronics|LG, LG Optimus One#LG Optimus Pro|Optimus Pro, c660, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013.
 LG Electronics|LG, Optimus Sol, e730, phone, {{sort|090000|9}},9, Last nightly was built on 29 September 2013.
 LG Electronics|LG, LG Nitro HD#LG Spectrum|Spectrum, vs920, phone, {{sort|102001|10.2 M1}},11, 
 LG Electronics|LG, LG Optimus 3D|Thrill 4G, p925, phone, {{sort|072000|7.2}},7, Last nightly was built on 2 December 2012.
 Motorola Mobility|Motorola, Motorola Atrix 4G|Atrix 4G, olympus, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013.
 Motorola Mobility|Motorola, Atrix HD, mb886, phone, {{sort|110002|11 M2}},12.1, 
 Motorola Mobility|Motorola, Motorola Backflip|Backflip, motus, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013.
 Motorola Mobility|Motorola, Motorola Cliq|Cliq, morrison, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013. Also marketed as the Motorola Dext.
 Motorola Mobility|Motorola, Motorola Cliq#Cliq XT|Cliq XT, zeppelin, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013. Also marketed as the Motorola Quench.
 Motorola Mobility|Motorola, Motorola Defy|Defy, Jordan, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013.
 Motorola Mobility|Motorola, Motorola Defy|Defy+, jordan_plus, phone, {{N/A}},7, Last nightly was built on 1 March 2013.
 Motorola Mobility|Motorola, Motorola Droid|Droid, sholes, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013.
 Motorola Mobility|Motorola, Motorola Droid 2|Droid 2, droid2, phone, {{sort|071000|7.1}},7, Last nightly was built on 1 March 2013.
 Motorola Mobility|Motorola, Motorola Droid 2|Droid 2 Global, droid2we, phone, {{sort|071000|7.1}},7, Last nightly was built on 1 March 2013. Also marketed as cdma_droid2we
 Motorola Mobility|Motorola, Droid 3, solana, phone, {{N/A}},10.1, Last nightly was built on 16 February 2013.
 Motorola Mobility|Motorola, Droid 4, maserati, phone, {{sort|110013|11 XNG3C}} ,12.1, 
 Motorola Mobility|Motorola, Droid Bionic, targa, phone, {{sort|110013|11 XNG3C}},12.1, 
 Motorola Mobility|Motorola," Droid Mini, Droid Maxx/Ultra|Droid Maxx,Ultra", obake, phone, {{N/A}},12.1, 
 Motorola Mobility|Motorola, Droid Razr, spyder, phone, {{sort|110013|11 XNG3C}},12.1, 
 Motorola Mobility|Motorola, Droid Razr HD, moto_msm8960_jbbl, phone, {{sort|110013|11 XNG3C}},11, Last Snapshot was built on 26 June 2015.
 Motorola Mobility|Motorola, Droid Razr HD (GSM), xt925, phone, {{sort|110002|11 M2}},12.1, 
 Motorola Mobility|Motorola, Droid Razr HD (CDMA), xt926, phone, {{sort|110002|11 M2}},12.1, 
 Motorola Mobility|Motorola, Droid Razr HD (4.1 bootloader), xt926_jbbl, phone, {{N/A}},12, 
 Motorola Mobility|Motorola, Droid Razr HD, moto_msm8960, phone, {{sort|110012|11 M12}},12,
 Motorola Mobility|Motorola, Droid Razr M, xt907, phone, {{sort|110002|11 M2}},12.1,
 Motorola Mobility|Motorola, Motorola Droid X|Droid X, shadow, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013.
 Motorola Mobility|Motorola, Motorola Photon|Photon, sunfire, phone, {{N/A}},7, Last nightly was built on 29 September 2013.
 Motorola Mobility|Motorola, Motorola Photon Q|Photon Q (CDMA), xt897c, phone, {{sort|102001|10.2 M1}},11, Last nightly was built on 10 December 2013.
 Motorola Mobility|Motorola, Motorola Photon Q|Photon Q (GSM), xt897, phone, {{sort|110002|11 M2}},12.1, 
 Motorola Mobility|Motorola, Moto E , condor, phone, {{N/A}},12.1, 
 Motorola Mobility|Motorola, Moto G (1st generation), falcon, phone, {{sort|110006|11 M6}},12.1, 
 Motorola Mobility|Motorola, Moto G (2nd generation) (2014), titan, phone, {{N/A}},12.1, 
 Motorola Mobility|Motorola, Moto G (1st generation)|Moto G (4G), peregrine, phone, {{N/A}},12.1, 
 Motorola Mobility|Motorola, Moto G (1st generation)|Moto G (4G) (2014), thea, phone, {{N/A}},12.1, 
 Motorola Mobility|Motorola, Moto Maxx , quark, phone, {{N/A}},12.1, 
 Motorola Mobility|Motorola, Moto X , ghost, phone, {{sort|110012|11 M12}},12.1, 
 Motorola Mobility|Motorola, Moto X (T-Mobile), xt1053, phone, {{N/A}},11, Last nightly was built on 18 February 2014.
 Motorola Mobility|Motorola, Moto X (International), xt1058, phone, {{N/A}},11, Only experimental builds are available. Last experimental was built on 16 February 2014.
 Motorola Mobility|Motorola, Moto X (Verizon CDMA), xt1060, phone, {{N/A}},11, Last nightly was built on 18 February 2014.
 Motorola Mobility|Motorola," Moto X, Droid Maxx|Droid Maxx (developer edition)", moto_msm8960dt, phone, {{sort|110005|11 M5}},11, Last nightly was built on 9 September 2014.
 Motorola Mobility|Motorola, Moto X (2nd generation) (2014) , Victara, phone, {{sort|120001|12 YNG4N}},12.1, 
 Motorola Mobility|Motorola, Droid Razr|Razr, umts_spyder, phone, {{sort|110013|11 XNG3C}},12.1, 
